epoch: 43, lr: 6.18e-01 - train loss: 9.96e-02 - valid loss: 2.25e-01, valid summary: {'TP': 618653.0, 'TN': 279059.0, 'FP': 44862.0, 'FN': 23426.0, 'FAR': 0.1384967322279155, 'FRR': 0.03648460703433633, 'DER': 0.07606893970449236, 'threshold': 0.5, 'precision': 0.9323873612502968, 'recall': 0.963515392965648, 'F-score': 0.9476958380629813, 'MCC': 0.8398471692893742}
epoch: 44, lr: 6.09e-01 - train loss: 9.94e-02 - valid loss: 2.20e-01, valid summary: {'TP': 618139.0, 'TN': 278824.0, 'FP': 45097.0, 'FN': 23940.0, 'FAR': 0.13922221776296878, 'FRR': 0.03728513158038127, 'DER': 0.07696750033167392, 'threshold': 0.5, 'precision': 0.9320045956491968, 'recall': 0.9627148684196032, 'F-score': 0.9471108506375856, 'MCC': 0.8380836149402766}
epoch: 45, lr: 6.00e-01 - train loss: 9.84e-02 - valid loss: 2.16e-01, valid summary: {'TP': 616200.0, 'TN': 282230.0, 'FP': 41691.0, 'FN': 25879.0, 'FAR': 0.12870730826343063, 'FRR': 0.04030500919668701, 'DER': 0.07520897565753508, 'threshold': 0.5, 'precision': 0.9366293200545237, 'recall': 0.9596949908032975, 'F-score': 0.9480218774279406, 'MCC': 0.8417424057237435}
epoch: 46, lr: 5.91e-01 - train loss: 9.75e-02 - valid loss: 2.27e-01, valid summary: {'TP': 610763.0, 'TN': 284249.0, 'FP': 39672.0, 'FN': 31316.0, 'FAR': 0.12247430700695161, 'FRR': 0.048772814560201334, 'DER': 0.07931513767413086, 'threshold': 0.5, 'precision': 0.9390069722570136, 'recall': 0.9512271854397831, 'F-score': 0.9450775774962592, 'MCC': 0.8342428043649681}
epoch: 47, lr: 5.82e-01 - train loss: 9.94e-02 - valid loss: 2.17e-01, valid summary: {'TP': 614349.0, 'TN': 283066.0, 'FP': 40855.0, 'FN': 27730.0, 'FAR': 0.1261264320621347, 'FRR': 0.04318783202689944, 'DER': 0.07642506532652033, 'threshold': 0.5, 'precision': 0.9376453745703485, 'recall': 0.956812167973085, 'F-score': 0.9471318131818578, 'MCC': 0.8395074565059596}
epoch: 48, lr: 5.73e-01 - train loss: 9.80e-02 - valid loss: 2.18e-01, valid summary: {'TP': 617829.0, 'TN': 281209.0, 'FP': 42712.0, 'FN': 24250.0, 'FAR': 0.1318593113753004, 'FRR': 0.03776793821320994, 'DER': 0.074481835028107, 'threshold': 0.5, 'precision': 0.9353378518517256, 'recall': 0.9622320617867745, 'F-score': 0.9485943713439069, 'MCC': 0.8430639549706298}
epoch: 49, lr: 5.64e-01 - train loss: 9.79e-02 - valid loss: 2.20e-01, valid summary: {'TP': 610779.0, 'TN': 286235.0, 'FP': 37686.0, 'FN': 31300.0, 'FAR': 0.11634318244262902, 'FRR': 0.04874789550818437, 'DER': 0.07690626902144139, 'threshold': 0.5, 'precision': 0.941884295991288, 'recall': 0.9512521044918001, 'F-score': 0.9465450228740748, 'MCC': 0.8391001834168428}
epoch: 50, lr: 5.55e-01 - train loss: 9.79e-02 - valid loss: 2.15e-01, valid summary: {'TP': 614833.0, 'TN': 284097.0, 'FP': 39824.0, 'FN': 27246.0, 'FAR': 0.12294355722536905, 'FRR': 0.042434030703386305, 'DER': 0.07461092632351712, 'threshold': 0.5, 'precision': 0.9391681445397981, 'recall': 0.9575659692965981, 'F-score': 0.9482778298743924, 'MCC': 0.8430966564280753}
epoch: 51, lr: 5.45e-01 - train loss: 9.73e-02 - valid loss: 2.22e-01, valid summary: {'TP': 619539.0, 'TN': 277101.0, 'FP': 46820.0, 'FN': 22540.0, 'FAR': 0.14454141596252962, 'FRR': 0.035104714528896984, 'DER': 0.07735546038543811, 'threshold': 0.5, 'precision': 0.9297375738903364, 'recall': 0.9648952854710874, 'F-score': 0.9469902280429031, 'MCC': 0.8372598459370323}
epoch: 52, lr: 5.36e-01 - train loss: 9.64e-02 - valid loss: 2.23e-01, valid summary: {'TP': 607413.0, 'TN': 288560.0, 'FP': 35361.0, 'FN': 34666.0, 'FAR': 0.10916550640433595, 'FRR': 0.05399024107625301, 'DER': 0.07815748912076505, 'threshold': 0.5, 'precision': 0.9449868849704415, 'recall': 0.9460097589237314, 'F-score': 0.9454980453016805, 'MCC': 0.8372904320109634}
